player_id,league_id,streak_id,value,has_ended,started,ended
965,100,1,2,1,"2000-4-11","2000-5-23"
965,100,0,2,0,"2000-5-2",NULL
975,100,0,1,1,"2000-4-16","2000-4-22"
975,100,1,1,1,"2000-4-16","2000-4-22"
975,100,0,5,0,"2000-5-4",NULL
975,100,3,1,1,"2000-5-4","2000-5-10"
975,100,1,2,0,"2000-6-10",NULL
1011,100,3,5,1,"2000-5-7","2000-5-13"
1011,100,2,2,1,"2000-8-11","2000-8-13"
1011,100,0,11,1,"2001-6-23","2001-7-4"
1011,100,1,3,1,"2001-8-23","2001-8-26"
1011,100,3,3,0,"2001-10-1",NULL
1011,100,0,1,0,"2001-10-6",NULL
1015,100,6,4,1,"2001-7-15","2002-7-28"
1015,100,7,6,1,"2002-7-28","2004-7-10"
1015,100,4,8,1,"2003-6-22","2003-7-18"
1015,100,4,9,0,"2003-8-26",NULL
1015,100,5,1,1,"2003-9-13","2003-9-16"
1015,100,6,8,0,"2003-9-16",NULL
1015,100,3,1,1,"2004-8-18","2004-8-24"
1025,100,0,16,1,"2004-5-8","2004-5-28"
1025,100,3,6,1,"2005-5-17","2005-5-23"
1025,100,2,3,1,"2005-5-20","2005-5-23"
1025,100,1,7,1,"2006-6-20","2006-6-30"
1025,100,3,2,0,"2007-9-29",NULL
1025,100,0,1,0,"2007-9-30",NULL
1099,100,7,11,1,"2000-6-6","2000-8-4"
1099,100,5,5,1,"2000-6-13","2000-8-4"
1099,100,6,3,1,"2000-8-25","2001-7-7"
1099,100,7,3,0,"2001-6-26",NULL
1099,100,5,1,0,"2001-7-7",NULL
1101,100,0,15,1,"2005-4-21","2005-5-9"
1101,100,1,8,1,"2005-4-23","2005-5-4"
1101,100,3,6,1,"2005-6-24","2005-7-7"
1101,100,2,3,1,"2007-6-20","2007-6-24"
1110,100,0,10,1,"2000-4-9","2000-5-7"
1110,100,1,5,1,"2001-8-11","2001-8-17"
1110,100,2,2,1,"2003-5-25","2003-5-31"
1110,100,3,9,1,"2004-4-21","2004-5-2"
1110,100,0,1,0,"2013-9-21",NULL
